Date,Draw,1,2,3,4,5,PB
2020/10/27,1141,19,25,41,45,46,12
2020/10/23,1140,3,6,36,41,43,17
2020/10/20,1139,15,20,29,32,45,4
2020/10/16,1138,1,7,18,37,48,13
2020/10/13,1137,13,15,20,27,28,7
2020/10/09,1136,8,21,38,41,50,4
2020/10/06,1135,6,21,25,29,33,9
2020/10/02,1134,8,10,23,41,50,9
2020/09/29,1133,7,12,16,28,38,13
2020/09/25,1132,2,17,18,27,37,4
2020/09/22,1131,3,10,28,31,41,7
2020/09/18,1130,8,19,24,29,44,8
2020/09/15,1129,3,18,32,40,46,7
2020/09/11,1128,1,4,10,12,49,18
2020/09/08,1127,12,13,14,36,50,6
2020/09/04,1126,2,3,11,12,43,13
2020/09/01,1125,16,21,22,36,39,5
2020/08/28,1124,8,10,17,44,45,12
2020/08/25,1123,7,20,32,34,48,1
2020/08/21,1122,13,32,33,40,41,1
2020/08/18,1121,6,22,30,39,49,2
2020/08/14,1120,10,11,16,25,30,1
2020/08/11,1119,27,29,39,40,42,6
2020/08/07,1118,11,30,42,45,48,12
2020/08/04,1117,4,28,34,38,47,16
2020/07/31,1116,6,18,30,46,48,11
2020/07/28,1115,3,28,30,38,40,8
2020/07/24,1114,4,6,11,27,34,10
2020/07/21,1113,17,20,22,32,41,3
2020/07/17,1112,12,15,24,30,38,6
2020/07/14,1111,20,21,28,48,49,3
2020/07/10,1110,11,16,44,46,50,1
2020/07/07,1109,2,7,13,20,45,18
2020/07/03,1108,2,7,15,25,41,1
2020/06/30,1107,2,11,27,36,39,3
2020/06/26,1106,11,20,21,34,50,7
2020/06/23,1105,2,7,16,36,47,18
2020/06/19,1104,21,28,29,33,48,7
2020/06/16,1103,4,26,27,29,41,15
2020/06/12,1102,9,27,38,43,48,15
2020/06/09,1101,5,37,43,49,50,3
2020/06/05,1100,14,23,28,40,48,3
2020/06/02,1099,5,15,29,41,46,14
2020/05/29,1098,4,27,30,34,45,20
2020/05/26,1097,15,25,34,39,42,4
2020/05/22,1096,9,10,24,41,45,15
2020/05/19,1095,9,15,19,36,44,10
2020/05/15,1094,5,7,13,19,47,4
2020/05/12,1093,6,22,34,44,45,11
2020/05/08,1092,12,21,30,35,45,18
2020/05/05,1091,6,22,41,46,49,3
2020/05/01,1090,12,20,43,48,49,6
2020/04/28,1089,6,12,32,36,45,4
2020/04/24,1088,10,12,22,42,50,18
2020/04/21,1087,8,13,21,46,50,13
2020/04/17,1086,16,19,20,23,25,10
2020/04/14,1085,6,11,25,31,46,9
2020/04/10,1084,7,14,22,24,41,16
2020/04/07,1083,4,13,32,34,42,9
2020/04/03,1082,9,10,29,32,45,9
2020/03/31,1081,14,20,28,43,49,5
2020/03/27,1080,3,8,18,38,45,3
2020/03/24,1079,4,12,41,45,46,5
2020/03/20,1078,4,9,16,21,36,14
2020/03/17,1077,16,29,34,38,49,14
2020/03/13,1076,5,6,12,22,50,11
2020/03/10,1075,6,8,24,25,50,10
2020/03/06,1074,6,23,26,28,47,6
2020/03/03,1073,11,17,18,27,44,8
2020/02/28,1072,1,31,37,49,50,2
2020/02/25,1071,4,10,17,26,31,11
2020/02/21,1070,4,18,30,34,36,20
2020/02/18,1069,14,17,20,36,49,2
2020/02/14,1068,2,19,40,49,50,6
2020/02/11,1067,9,22,40,43,46,1
2020/02/07,1066,2,4,29,38,47,1
2020/02/04,1065,3,15,23,37,45,18
2020/01/31,1064,11,14,18,29,34,15
2020/01/28,1063,14,18,31,36,49,9
2020/01/24,1062,5,11,26,48,49,12
2020/01/21,1061,14,18,32,42,49,17
2020/01/17,1060,7,8,18,26,31,16
2020/01/14,1059,9,10,11,32,43,15
2020/01/10,1058,23,25,28,30,40,13
2020/01/07,1057,4,8,18,35,49,10
2020/01/03,1056,8,9,18,43,50,12
2019/12/31,1055,22,31,44,49,50,8
2019/12/27,1054,4,13,34,36,38,4
2019/12/24,1053,14,18,29,41,46,6
2019/12/20,1052,8,10,22,36,40,20
2019/12/17,1051,15,27,33,38,48,1
2019/12/13,1050,1,9,13,25,34,10
2019/12/10,1049,18,21,24,40,50,17
2019/12/06,1048,12,19,33,34,49,8
2019/12/03,1047,5,6,15,23,45,6
2019/11/29,1046,6,11,21,25,49,12
2019/11/26,1045,2,8,11,13,32,3
2019/11/22,1044,5,17,18,20,26,7
2019/11/19,1043,3,4,16,43,44,10
2019/11/15,1042,13,15,31,37,49,13
2019/11/12,1041,3,5,10,11,25,10
2019/11/08,1040,5,18,27,37,45,12
2019/11/05,1039,4,7,18,27,37,8
2019/11/01,1038,13,25,29,43,47,12
2019/10/29,1037,8,29,38,41,50,2
2019/10/25,1036,2,21,29,37,49,9
2019/10/22,1035,3,22,31,35,48,16
2019/10/18,1034,15,21,31,34,44,2
2019/10/15,1033,10,34,36,39,50,6
2019/10/11,1032,15,16,17,26,43,10
2019/10/08,1031,4,15,36,37,50,17
2019/10/04,1030,4,5,23,29,31,17
2019/10/01,1029,3,9,29,32,50,7
2019/09/27,1028,14,16,18,22,39,15
2019/09/24,1027,6,34,35,36,46,12
2019/09/20,1026,9,16,22,29,35,6
2019/09/17,1025,13,21,23,35,49,8
2019/09/13,1024,8,9,10,11,42,9
2019/09/10,1023,10,15,24,28,50,5
2019/09/06,1022,2,20,25,40,49,20
2019/09/03,1021,6,11,16,31,34,19
2019/08/30,1020,8,14,36,40,47,2
2019/08/27,1019,4,5,9,10,11,13
2019/08/23,1018,8,9,15,20,24,14
2019/08/20,1017,11,19,20,39,41,9
2019/08/16,1016,3,10,14,31,41,9
2019/08/13,1015,5,16,17,25,38,2
2019/08/09,1014,2,18,34,37,48,3
2019/08/06,1013,6,8,15,30,37,20
2019/08/02,1012,5,31,45,46,47,5
2019/07/30,1011,1,14,29,32,38,18
2019/07/26,1010,4,17,19,43,48,7
