Date,Draw,1,2,3,4,5,PB
2020/10/27,1141,6,12,17,31,43,12
2020/10/23,1140,1,13,24,27,38,1
2020/10/20,1139,16,18,30,31,37,17
2020/10/16,1138,22,31,40,47,48,15
2020/10/13,1137,13,17,22,33,41,5
2020/10/09,1136,9,11,32,36,46,18
2020/10/06,1135,14,16,17,41,46,9
2020/10/02,1134,7,14,25,32,42,15
2020/09/29,1133,1,5,16,17,37,5
2020/09/25,1132,12,22,26,46,49,4
2020/09/22,1131,2,8,12,37,47,15
2020/09/18,1130,14,40,41,45,47,7
2020/09/15,1129,1,12,19,27,28,1
2020/09/11,1128,7,12,24,25,34,9
2020/09/08,1127,22,24,29,33,40,10
2020/09/04,1126,8,9,11,30,45,1
2020/09/01,1125,1,14,31,33,45,11
2020/08/28,1124,9,11,14,22,27,4
2020/08/25,1123,2,11,25,28,42,3
2020/08/21,1122,2,9,18,25,43,2
2020/08/18,1121,1,15,25,35,49,7
2020/08/14,1120,3,7,15,23,33,17
2020/08/11,1119,1,13,20,28,45,11
2020/08/07,1118,14,15,22,23,29,11
2020/08/04,1117,5,13,21,31,33,14
2020/07/31,1116,5,8,9,24,29,12
2020/07/28,1115,9,12,13,45,48,2
2020/07/24,1114,7,10,18,23,45,13
2020/07/21,1113,4,5,30,32,48,1
2020/07/17,1112,1,20,28,29,35,6
2020/07/14,1111,6,11,25,39,48,3
2020/07/10,1110,7,13,23,37,39,7
2020/07/07,1109,4,5,10,47,50,16
2020/07/03,1108,4,13,15,22,29,7
2020/06/30,1107,6,27,28,38,45,3
2020/06/26,1106,7,15,20,22,39,8
2020/06/23,1105,10,13,24,32,35,20
2020/06/19,1104,1,3,9,18,40,19
2020/06/16,1103,4,11,18,22,46,10
2020/06/12,1102,3,20,22,41,45,1
2020/06/09,1101,21,22,25,31,42,20
2020/06/05,1100,3,7,26,29,48,14
2020/06/02,1099,2,3,5,11,42,2
2020/05/29,1098,4,9,24,32,34,5
2020/05/26,1097,5,6,26,29,49,10
2020/05/22,1096,18,26,27,35,36,9
2020/05/19,1095,8,17,25,29,31,1
2020/05/15,1094,2,12,43,44,45,13
2020/05/12,1093,5,6,8,28,50,18
2020/05/08,1092,3,16,34,37,44,9
2020/05/05,1091,2,12,18,32,33,2
2020/05/01,1090,8,17,18,34,44,9
2020/04/28,1089,9,18,37,39,48,4
2020/04/24,1088,3,12,22,24,28,19
2020/04/21,1087,13,19,36,37,43,9
2020/04/17,1086,8,9,16,45,49,18
2020/04/14,1085,3,4,25,31,46,8
2020/04/10,1084,10,13,22,27,41,4
2020/04/07,1083,11,12,21,41,45,19
2020/04/03,1082,8,19,21,29,50,13
2020/03/31,1081,5,35,37,42,50,20
2020/03/27,1080,2,16,28,36,39,16
2020/03/24,1079,6,12,24,34,45,12
2020/03/20,1078,1,18,27,36,37,5
2020/03/17,1077,11,20,22,25,50,16
2020/03/13,1076,2,13,35,44,50,4
2020/03/10,1075,2,3,15,32,36,5
2020/03/06,1074,2,16,19,36,50,15
2020/03/03,1073,13,25,33,39,44,17
2020/02/28,1072,5,17,19,24,26,16
2020/02/25,1071,1,16,38,47,48,4
2020/02/21,1070,1,8,13,25,43,6
2020/02/18,1069,14,20,27,45,47,14
2020/02/14,1068,2,3,9,10,33,12
2020/02/11,1067,7,12,15,18,45,17
2020/02/07,1066,13,20,40,41,45,17
2020/02/04,1065,17,18,23,28,45,13
2020/01/31,1064,1,3,8,16,30,18
2020/01/28,1063,1,4,19,29,33,20
2020/01/24,1062,7,21,33,37,48,14
2020/01/21,1061,14,30,33,46,49,19
2020/01/17,1060,4,13,19,21,24,4
2020/01/14,1059,5,6,12,15,17,17
2020/01/10,1058,7,8,9,27,44,1
2020/01/07,1057,4,17,29,34,39,1
2020/01/03,1056,1,4,6,31,34,5
2019/12/31,1055,1,9,17,26,35,3
2019/12/27,1054,22,27,33,43,46,18
2019/12/24,1053,4,21,22,42,50,7
2019/12/20,1052,7,9,27,35,46,12
2019/12/17,1051,13,18,21,35,36,16
2019/12/13,1050,4,10,13,21,27,19
2019/12/10,1049,14,16,19,27,30,5
2019/12/06,1048,14,19,34,44,49,4
2019/12/03,1047,12,24,43,46,49,12
2019/11/29,1046,17,27,30,34,37,20
2019/11/26,1045,5,12,17,31,34,16
2019/11/22,1044,3,14,15,27,32,12
2019/11/19,1043,31,32,39,45,47,16
2019/11/15,1042,18,21,25,29,34,3
2019/11/12,1041,3,25,36,42,44,15
2019/11/08,1040,1,13,19,37,42,18
2019/11/05,1039,16,21,31,36,39,7
2019/11/01,1038,4,26,30,32,36,7
2019/10/29,1037,12,14,26,28,45,7
2019/10/25,1036,3,6,23,29,47,19
2019/10/22,1035,29,31,33,37,46,15
2019/10/18,1034,7,9,11,23,28,4
2019/10/15,1033,2,3,29,34,46,2
2019/10/11,1032,18,24,37,39,44,10
2019/10/08,1031,19,28,33,42,46,4
2019/10/04,1030,18,37,38,46,48,1
2019/10/01,1029,11,16,17,24,50,2
2019/09/27,1028,14,30,35,40,41,6
2019/09/24,1027,9,15,20,28,37,20
2019/09/20,1026,11,23,24,25,44,13
2019/09/17,1025,22,29,33,38,45,5
2019/09/13,1024,3,13,27,32,35,14
